"20:41:27.527694 ARP, Request who-has 192.168.223.1 (Broadcast) tell 192.168.223.130, length 46"
"20:41:29.682639 IP 192.168.223.130.43420 > 192.168.223.254.sunrpc: Flags [S], seq 2736444172, win 1024, options [mss 1460], length 0"
"20:41:29.682828 IP 192.168.223.130.43420 > 192.168.223.1.sunrpc: Flags [S], seq 2736444172, win 1024, options [mss 1460], length 0"
"20:41:29.683059 IP 192.168.223.129.microsoft-ds > 192.168.223.130.43420: Flags [S.], seq 841159750, ack 2736444173, win 5840, options [mss 1460], length 0"
"20:41:29.683112 IP 192.168.223.129.sunrpc > 192.168.223.130.43420: Flags [S.], seq 848492795, ack 2736444173, win 5840, options [mss 1460], length 0"
"20:41:29.683333 IP 192.168.223.128.microsoft-ds > 192.168.223.130.43420: Flags [S.], seq 3160000558, ack 2736444173, win 64240, options [mss 1460], length 0"
"20:41:29.683341 IP 192.168.223.128.sunrpc > 192.168.223.130.43420: Flags [R.], seq 0, ack 2736444173, win 0, length 0"
"20:41:29.683640 IP 192.168.223.130.43420 > 192.168.223.129.microsoft-ds: Flags [R], seq 2736444173, win 0, length 0"
"20:41:29.683690 IP 192.168.223.130.43420 > 192.168.223.128.microsoft-ds: Flags [R], seq 2736444173, win 0, length 0"
"20:41:29.683713 IP 192.168.223.130.43420 > 192.168.223.129.sunrpc: Flags [R], seq 2736444173, win 0, length 0"
"20:41:30.784270 IP 192.168.223.130.43421 > 192.168.223.1.sunrpc: Flags [S], seq 2736509709, win 1024, options [mss 1460], length 0"
"20:41:30.784333 IP 192.168.223.130.43421 > 192.168.223.2.sunrpc: Flags [S], seq 2736509709, win 1024, options [mss 1460], length 0"
"20:41:30.784369 IP 192.168.223.130.43421 > 192.168.223.128.sunrpc: Flags [S], seq 2736509709, win 1024, options [mss 1460], length 0"
"20:41:30.784431 IP 192.168.223.130.43421 > 192.168.223.129.sunrpc: Flags [S], seq 2736509709, win 1024, options [mss 1460], length 0"
"20:41:30.784471 IP 192.168.223.130.43421 > 192.168.223.254.sunrpc: Flags [S], seq 2736509709, win 1024, options [mss 1460], length 0"
"20:41:30.784518 IP 192.168.223.130.43421 > 192.168.223.1.microsoft-ds: Flags [S], seq 2736509709, win 1024, options [mss 1460], length 0"
"20:41:30.784535 IP 192.168.223.130.43421 > 192.168.223.128.microsoft-ds: Flags [S], seq 2736509709, win 1024, options [mss 1460], length 0"
"20:41:30.784573 IP 192.168.223.130.43421 > 192.168.223.129.microsoft-ds: Flags [S], seq 2736509709, win 1024, options [mss 1460], length 0"
"20:41:30.784590 IP 192.168.223.130.43421 > 192.168.223.254.microsoft-ds: Flags [S], seq 2736509709, win 1024, options [mss 1460], length 0"
"20:41:30.784616 IP 192.168.223.130.43420 > 192.168.223.1.mysql: Flags [S], seq 2736444172, win 1024, options [mss 1460], length 0"
"20:41:30.784652 IP 192.168.223.130.43420 > 192.168.223.2.mysql: Flags [S], seq 2736444172, win 1024, options [mss 1460], length 0"
"20:41:30.784734 IP 192.168.223.130.43420 > 192.168.223.128.mysql: Flags [S], seq 2736444172, win 1024, options [mss 1460], length 0"
"20:41:30.784762 IP 192.168.223.130.43420 > 192.168.223.129.mysql: Flags [S], seq 2736444172, win 1024, options [mss 1460], length 0"
"20:41:30.784789 IP 192.168.223.130.43420 > 192.168.223.254.mysql: Flags [S], seq 2736444172, win 1024, options [mss 1460], length 0"
"20:41:30.784817 IP 192.168.223.130.43420 > 192.168.223.1.ssh: Flags [S], seq 2736444172, win 1024, options [mss 1460], length 0"
"20:41:30.784835 IP 192.168.223.130.43420 > 192.168.223.2.ssh: Flags [S], seq 2736444172, win 1024, options [mss 1460], length 0"
"20:41:30.784854 IP 192.168.223.130.43420 > 192.168.223.128.ssh: Flags [S], seq 2736444172, win 1024, options [mss 1460], length 0"
"20:41:30.784890 IP 192.168.223.130.43420 > 192.168.223.129.ssh: Flags [S], seq 2736444172, win 1024, options [mss 1460], length 0"
"20:41:30.784906 IP 192.168.223.130.43420 > 192.168.223.254.ssh: Flags [S], seq 2736444172, win 1024, options [mss 1460], length 0"
"20:41:30.784922 IP 192.168.223.130.43420 > 192.168.223.1.domain: Flags [S], seq 2736444172, win 1024, options [mss 1460], length 0"
"20:41:30.784988 IP 192.168.223.130.43420 > 192.168.223.2.domain: Flags [S], seq 2736444172, win 1024, options [mss 1460], length 0"
"20:41:30.785035 IP 192.168.223.2.sunrpc > 192.168.223.130.43421: Flags [R.], seq 0, ack 2736509710, win 32767, length 0"
"20:41:30.785054 IP 192.168.223.2.mysql > 192.168.223.130.43420: Flags [R.], seq 0, ack 2736444173, win 32767, length 0"
"20:41:30.785069 IP 192.168.223.2.ssh > 192.168.223.130.43420: Flags [R.], seq 0, ack 2736444173, win 32767, length 0"
"20:41:30.785095 IP 192.168.223.128.sunrpc > 192.168.223.130.43421: Flags [R.], seq 0, ack 2736509710, win 0, length 0"
"20:41:30.785135 IP 192.168.223.128.microsoft-ds > 192.168.223.130.43421: Flags [S.], seq 3160304126, ack 2736509710, win 64240, options [mss 1460], length 0"
"20:41:30.785153 IP 192.168.223.128.mysql > 192.168.223.130.43420: Flags [R.], seq 0, ack 2736444173, win 0, length 0"
"20:41:30.785169 IP 192.168.223.128.ssh > 192.168.223.130.43420: Flags [R.], seq 0, ack 2736444173, win 0, length 0"
"20:41:30.785196 IP 192.168.223.129.sunrpc > 192.168.223.130.43421: Flags [S.], seq 860179313, ack 2736509710, win 5840, options [mss 1460], length 0"
"20:41:30.785214 IP 192.168.223.129.microsoft-ds > 192.168.223.130.43421: Flags [S.], seq 866091773, ack 2736509710, win 5840, options [mss 1460], length 0"
"20:41:30.785230 IP 192.168.223.129.mysql > 192.168.223.130.43420: Flags [S.], seq 861715451, ack 2736444173, win 5840, options [mss 1460], length 0"
"20:41:30.785247 IP 192.168.223.129.ssh > 192.168.223.130.43420: Flags [S.], seq 866267813, ack 2736444173, win 5840, options [mss 1460], length 0"
"20:41:30.785297 IP 192.168.223.130.43421 > 192.168.223.128.microsoft-ds: Flags [R], seq 2736509710, win 0, length 0"
"20:41:30.785325 IP 192.168.223.130.43421 > 192.168.223.129.sunrpc: Flags [R], seq 2736509710, win 0, length 0"
"20:41:30.785341 IP 192.168.223.130.43421 > 192.168.223.129.microsoft-ds: Flags [R], seq 2736509710, win 0, length 0"
"20:41:30.785357 IP 192.168.223.130.43420 > 192.168.223.129.mysql: Flags [R], seq 2736444173, win 0, length 0"
"20:41:30.785372 IP 192.168.223.130.43420 > 192.168.223.129.ssh: Flags [R], seq 2736444173, win 0, length 0"
"20:41:30.787065 IP 192.168.223.130.43420 > 192.168.223.254.domain: Flags [S], seq 2736444172, win 1024, options [mss 1460], length 0"
"20:41:30.787163 IP 192.168.223.130.43420 > 192.168.223.1.smux: Flags [S], seq 2736444172, win 1024, options [mss 1460], length 0"
"20:41:30.787197 IP 192.168.223.130.43420 > 192.168.223.2.smux: Flags [S], seq 2736444172, win 1024, options [mss 1460], length 0"
"20:41:30.787215 IP 192.168.223.130.43420 > 192.168.223.128.domain: Flags [S], seq 2736444172, win 1024, options [mss 1460], length 0"
"20:41:30.787271 IP 192.168.223.130.43420 > 192.168.223.129.domain: Flags [S], seq 2736444172, win 1024, options [mss 1460], length 0"
"20:41:30.787320 IP 192.168.223.130.43420 > 192.168.223.254.smux: Flags [S], seq 2736444172, win 1024, options [mss 1460], length 0"
"20:41:30.787349 IP 192.168.223.130.43420 > 192.168.223.1.smtp: Flags [S], seq 2736444172, win 1024, options [mss 1460], length 0"
"20:41:30.787376 IP 192.168.223.130.43420 > 192.168.223.2.smtp: Flags [S], seq 2736444172, win 1024, options [mss 1460], length 0"
"20:41:30.787404 IP 192.168.223.130.43420 > 192.168.223.128.smux: Flags [S], seq 2736444172, win 1024, options [mss 1460], length 0"
"20:41:30.787420 IP 192.168.223.130.43420 > 192.168.223.129.smux: Flags [S], seq 2736444172, win 1024, options [mss 1460], length 0"
"20:41:30.787450 IP 192.168.223.130.43420 > 192.168.223.254.smtp: Flags [S], seq 2736444172, win 1024, options [mss 1460], length 0"
"20:41:30.787466 IP 192.168.223.130.43420 > 192.168.223.1.5900: Flags [S], seq 2736444172, win 1024, options [mss 1460], length 0"
"20:41:30.787495 IP 192.168.223.130.43420 > 192.168.223.2.5900: Flags [S], seq 2736444172, win 1024, options [mss 1460], length 0"
"20:41:30.787533 IP 192.168.223.130.43420 > 192.168.223.128.smtp: Flags [S], seq 2736444172, win 1024, options [mss 1460], length 0"
"20:41:30.787550 IP 192.168.223.130.43420 > 192.168.223.129.smtp: Flags [S], seq 2736444172, win 1024, options [mss 1460], length 0"
"20:41:30.787576 IP 192.168.223.130.43420 > 192.168.223.254.5900: Flags [S], seq 2736444172, win 1024, options [mss 1460], length 0"
"20:41:30.787595 IP 192.168.223.130.43420 > 192.168.223.1.telnet: Flags [S], seq 2736444172, win 1024, options [mss 1460], length 0"
"20:41:30.787611 IP 192.168.223.130.43420 > 192.168.223.2.telnet: Flags [S], seq 2736444172, win 1024, options [mss 1460], length 0"
"20:41:30.787627 IP 192.168.223.130.43420 > 192.168.223.128.5900: Flags [S], seq 2736444172, win 1024, options [mss 1460], length 0"
"20:41:30.787654 IP 192.168.223.2.smux > 192.168.223.130.43420: Flags [R.], seq 0, ack 2736444173, win 32767, length 0"
"20:41:30.787685 IP 192.168.223.2.smtp > 192.168.223.130.43420: Flags [R.], seq 0, ack 2736444173, win 32767, length 0"
"20:41:30.787701 IP 192.168.223.2.5900 > 192.168.223.130.43420: Flags [R.], seq 0, ack 2736444173, win 32767, length 0"
"20:41:30.787716 IP 192.168.223.2.telnet > 192.168.223.130.43420: Flags [R.], seq 0, ack 2736444173, win 32767, length 0"
"20:41:30.787752 IP 192.168.223.128.domain > 192.168.223.130.43420: Flags [R.], seq 0, ack 2736444173, win 0, length 0"
"20:41:30.787798 IP 192.168.223.128.smux > 192.168.223.130.43420: Flags [R.], seq 0, ack 2736444173, win 0, length 0"
"20:41:30.787844 IP 192.168.223.128.smtp > 192.168.223.130.43420: Flags [R.], seq 0, ack 2736444173, win 0, length 0"
"20:41:30.787863 IP 192.168.223.128.5900 > 192.168.223.130.43420: Flags [R.], seq 0, ack 2736444173, win 0, length 0"
"20:41:30.787888 IP 192.168.223.129.domain > 192.168.223.130.43420: Flags [S.], seq 866127308, ack 2736444173, win 5840, options [mss 1460], length 0"
"20:41:30.787904 IP 192.168.223.129.smux > 192.168.223.130.43420: Flags [R.], seq 0, ack 2736444173, win 0, length 0"
"20:41:30.787920 IP 192.168.223.129.smtp > 192.168.223.130.43420: Flags [S.], seq 856777995, ack 2736444173, win 5840, options [mss 1460], length 0"
"20:41:30.787989 IP 192.168.223.130.43420 > 192.168.223.129.domain: Flags [R], seq 2736444173, win 0, length 0"
"20:41:30.788026 IP 192.168.223.130.43420 > 192.168.223.129.smtp: Flags [R], seq 2736444173, win 0, length 0"
"20:41:30.801965 IP 192.168.223.2.domain > 192.168.223.130.43420: Flags [S.], seq 1355232333, ack 2736444173, win 64240, options [mss 1460], length 0"
"20:41:30.802130 IP 192.168.223.130.43420 > 192.168.223.2.domain: Flags [R], seq 2736444173, win 0, length 0"
"20:41:30.887038 IP 192.168.223.130.43421 > 192.168.223.1.domain: Flags [S], seq 2736509709, win 1024, options [mss 1460], length 0"
"20:41:30.887109 IP 192.168.223.130.43421 > 192.168.223.254.ssh: Flags [S], seq 2736509709, win 1024, options [mss 1460], length 0"
"20:41:30.887128 IP 192.168.223.130.43421 > 192.168.223.1.ssh: Flags [S], seq 2736509709, win 1024, options [mss 1460], length 0"
"20:41:30.887157 IP 192.168.223.130.43421 > 192.168.223.254.mysql: Flags [S], seq 2736509709, win 1024, options [mss 1460], length 0"
"20:41:30.887182 IP 192.168.223.130.43421 > 192.168.223.1.mysql: Flags [S], seq 2736509709, win 1024, options [mss 1460], length 0"
"20:41:30.887200 IP 192.168.223.130.43420 > 192.168.223.1.imaps: Flags [S], seq 2736444172, win 1024, options [mss 1460], length 0"
"20:41:30.887235 IP 192.168.223.130.43420 > 192.168.223.2.imaps: Flags [S], seq 2736444172, win 1024, options [mss 1460], length 0"
"20:41:30.887252 IP 192.168.223.130.43420 > 192.168.223.128.telnet: Flags [S], seq 2736444172, win 1024, options [mss 1460], length 0"
"20:41:30.887289 IP 192.168.223.130.43420 > 192.168.223.129.5900: Flags [S], seq 2736444172, win 1024, options [mss 1460], length 0"
"20:41:30.887331 IP 192.168.223.130.43420 > 192.168.223.254.telnet: Flags [S], seq 2736444172, win 1024, options [mss 1460], length 0"
"20:41:30.887348 IP 192.168.223.130.43420 > 192.168.223.1.1025: Flags [S], seq 2736444172, win 1024, options [mss 1460], length 0"
"20:41:30.887376 IP 192.168.223.130.43420 > 192.168.223.2.1025: Flags [S], seq 2736444172, win 1024, options [mss 1460], length 0"
"20:41:30.887392 IP 192.168.223.130.43420 > 192.168.223.128.imaps: Flags [S], seq 2736444172, win 1024, options [mss 1460], length 0"
"20:41:30.887433 IP 192.168.223.130.43420 > 192.168.223.129.telnet: Flags [S], seq 2736444172, win 1024, options [mss 1460], length 0"
"20:41:30.887450 IP 192.168.223.130.43420 > 192.168.223.254.imaps: Flags [S], seq 2736444172, win 1024, options [mss 1460], length 0"
"20:41:30.887546 IP 192.168.223.2.imaps > 192.168.223.130.43420: Flags [R.], seq 0, ack 2736444173, win 32767, length 0"
"20:41:30.887565 IP 192.168.223.2.1025 > 192.168.223.130.43420: Flags [R.], seq 0, ack 2736444173, win 32767, length 0"
"20:41:30.887591 IP 192.168.223.128.telnet > 192.168.223.130.43420: Flags [R.], seq 0, ack 2736444173, win 0, length 0"
"20:41:30.887607 IP 192.168.223.128.imaps > 192.168.223.130.43420: Flags [R.], seq 0, ack 2736444173, win 0, length 0"
"20:41:30.887631 IP 192.168.223.129.5900 > 192.168.223.130.43420: Flags [S.], seq 858316234, ack 2736444173, win 5840, options [mss 1460], length 0"
"20:41:30.887647 IP 192.168.223.129.telnet > 192.168.223.130.43420: Flags [S.], seq 861760015, ack 2736444173, win 5840, options [mss 1460], length 0"
"20:41:30.887685 IP 192.168.223.130.43420 > 192.168.223.1.https: Flags [S], seq 2736444172, win 1024, options [mss 1460], length 0"
"20:41:30.887707 IP 192.168.223.130.43420 > 192.168.223.2.https: Flags [S], seq 2736444172, win 1024, options [mss 1460], length 0"
"20:41:30.887724 IP 192.168.223.130.43420 > 192.168.223.128.1025: Flags [S], seq 2736444172, win 1024, options [mss 1460], length 0"
"20:41:30.887753 IP 192.168.223.130.43420 > 192.168.223.129.imaps: Flags [S], seq 2736444172, win 1024, options [mss 1460], length 0"
"20:41:30.887769 IP 192.168.223.130.43420 > 192.168.223.129.5900: Flags [R], seq 2736444173, win 0, length 0"
"20:41:30.887796 IP 192.168.223.2.https > 192.168.223.130.43420: Flags [R.], seq 0, ack 2736444173, win 32767, length 0"
"20:41:30.887837 IP 192.168.223.130.43420 > 192.168.223.129.telnet: Flags [R], seq 2736444173, win 0, length 0"
"20:41:30.887874 IP 192.168.223.128.1025 > 192.168.223.130.43420: Flags [S.], seq 3160376572, ack 2736444173, win 64240, options [mss 1460], length 0"
"20:41:30.887910 IP 192.168.223.129.imaps > 192.168.223.130.43420: Flags [R.], seq 0, ack 2736444173, win 0, length 0"
"20:41:30.887994 IP 192.168.223.130.43420 > 192.168.223.128.1025: Flags [R], seq 2736444173, win 0, length 0"
"20:41:30.889975 IP 192.168.223.130.43421 > 192.168.223.1.telnet: Flags [S], seq 2736509709, win 1024, options [mss 1460], length 0"
"20:41:30.890029 IP 192.168.223.130.43421 > 192.168.223.254.5900: Flags [S], seq 2736509709, win 1024, options [mss 1460], length 0"
"20:41:30.890048 IP 192.168.223.130.43421 > 192.168.223.1.5900: Flags [S], seq 2736509709, win 1024, options [mss 1460], length 0"
"20:41:30.890077 IP 192.168.223.130.43421 > 192.168.223.254.smtp: Flags [S], seq 2736509709, win 1024, options [mss 1460], length 0"
"20:41:30.890094 IP 192.168.223.130.43421 > 192.168.223.1.smtp: Flags [S], seq 2736509709, win 1024, options [mss 1460], length 0"
"20:41:30.890143 IP 192.168.223.130.43421 > 192.168.223.254.smux: Flags [S], seq 2736509709, win 1024, options [mss 1460], length 0"
"20:41:30.890160 IP 192.168.223.130.43421 > 192.168.223.1.smux: Flags [S], seq 2736509709, win 1024, options [mss 1460], length 0"
"20:41:30.890231 IP 192.168.223.130.43421 > 192.168.223.254.domain: Flags [S], seq 2736509709, win 1024, options [mss 1460], length 0"
"20:41:30.987798 IP 192.168.223.130.43421 > 192.168.223.1.https: Flags [S], seq 2736509709, win 1024, options [mss 1460], length 0"
"20:41:30.987989 IP 192.168.223.130.43421 > 192.168.223.2.https: Flags [S], seq 2736509709, win 1024, options [mss 1460], length 0"
"20:41:30.988020 IP 192.168.223.130.43421 > 192.168.223.128.1025: Flags [S], seq 2736509709, win 1024, options [mss 1460], length 0"
"20:41:30.988059 IP 192.168.223.130.43421 > 192.168.223.129.imaps: Flags [S], seq 2736509709, win 1024, options [mss 1460], length 0"
"20:41:30.988111 IP 192.168.223.130.43421 > 192.168.223.254.imaps: Flags [S], seq 2736509709, win 1024, options [mss 1460], length 0"
"20:41:30.988139 IP 192.168.223.130.43421 > 192.168.223.1.1025: Flags [S], seq 2736509709, win 1024, options [mss 1460], length 0"
"20:41:30.988177 IP 192.168.223.130.43421 > 192.168.223.2.1025: Flags [S], seq 2736509709, win 1024, options [mss 1460], length 0"
"20:41:30.988204 IP 192.168.223.130.43421 > 192.168.223.128.imaps: Flags [S], seq 2736509709, win 1024, options [mss 1460], length 0"
"20:41:30.988234 IP 192.168.223.130.43421 > 192.168.223.129.telnet: Flags [S], seq 2736509709, win 1024, options [mss 1460], length 0"
"20:41:30.988261 IP 192.168.223.130.43421 > 192.168.223.254.telnet: Flags [S], seq 2736509709, win 1024, options [mss 1460], length 0"
"20:41:30.988289 IP 192.168.223.130.43421 > 192.168.223.1.imaps: Flags [S], seq 2736509709, win 1024, options [mss 1460], length 0"
"20:41:30.988306 IP 192.168.223.130.43421 > 192.168.223.2.imaps: Flags [S], seq 2736509709, win 1024, options [mss 1460], length 0"
"20:41:30.988333 IP 192.168.223.130.43421 > 192.168.223.128.telnet: Flags [S], seq 2736509709, win 1024, options [mss 1460], length 0"
"20:41:30.988363 IP 192.168.223.130.43421 > 192.168.223.129.5900: Flags [S], seq 2736509709, win 1024, options [mss 1460], length 0"
"20:41:30.988380 IP 192.168.223.130.43420 > 192.168.223.129.1025: Flags [S], seq 2736444172, win 1024, options [mss 1460], length 0"
"20:41:30.988395 IP 192.168.223.130.43420 > 192.168.223.254.1025: Flags [S], seq 2736444172, win 1024, options [mss 1460], length 0"
"20:41:30.988414 IP 192.168.223.130.43420 > 192.168.223.1.1723: Flags [S], seq 2736444172, win 1024, options [mss 1460], length 0"
"20:41:30.988441 IP 192.168.223.130.43420 > 192.168.223.2.1723: Flags [S], seq 2736444172, win 1024, options [mss 1460], length 0"
"20:41:30.988458 IP 192.168.223.130.43420 > 192.168.223.128.https: Flags [S], seq 2736444172, win 1024, options [mss 1460], length 0"
"20:41:30.988498 IP 192.168.223.2.https > 192.168.223.130.43421: Flags [R.], seq 0, ack 2736509710, win 32767, length 0"
"20:41:30.988529 IP 192.168.223.2.1025 > 192.168.223.130.43421: Flags [R.], seq 0, ack 2736509710, win 32767, length 0"
"20:41:30.988545 IP 192.168.223.2.imaps > 192.168.223.130.43421: Flags [R.], seq 0, ack 2736509710, win 32767, length 0"
"20:41:30.988560 IP 192.168.223.2.1723 > 192.168.223.130.43420: Flags [R.], seq 0, ack 2736444173, win 32767, length 0"
"20:41:30.988636 IP 192.168.223.128.1025 > 192.168.223.130.43421: Flags [S.], seq 3160462008, ack 2736509710, win 64240, options [mss 1460], length 0"
"20:41:30.988683 IP 192.168.223.128.imaps > 192.168.223.130.43421: Flags [R.], seq 0, ack 2736509710, win 0, length 0"
"20:41:30.988701 IP 192.168.223.128.telnet > 192.168.223.130.43421: Flags [R.], seq 0, ack 2736509710, win 0, length 0"
"20:41:30.988717 IP 192.168.223.128.https > 192.168.223.130.43420: Flags [R.], seq 0, ack 2736444173, win 0, length 0"
"20:41:30.988742 IP 192.168.223.129.imaps > 192.168.223.130.43421: Flags [R.], seq 0, ack 2736509710, win 0, length 0"
"20:41:30.988757 IP 192.168.223.129.telnet > 192.168.223.130.43421: Flags [S.], seq 868803776, ack 2736509710, win 5840, options [mss 1460], length 0"
"20:41:30.988796 IP 192.168.223.129.5900 > 192.168.223.130.43421: Flags [S.], seq 868856315, ack 2736509710, win 5840, options [mss 1460], length 0"
"20:41:30.988813 IP 192.168.223.129.1025 > 192.168.223.130.43420: Flags [R.], seq 0, ack 2736444173, win 0, length 0"
"20:41:30.988838 IP 192.168.223.130.43421 > 192.168.223.128.1025: Flags [R], seq 2736509710, win 0, length 0"
"20:41:30.988933 IP 192.168.223.130.43421 > 192.168.223.129.telnet: Flags [R], seq 2736509710, win 0, length 0"
"20:41:30.988952 IP 192.168.223.130.43421 > 192.168.223.129.5900: Flags [R], seq 2736509710, win 0, length 0"
"20:41:30.990626 IP 192.168.223.130.43420 > 192.168.223.1.loc-srv: Flags [S], seq 2736444172, win 1024, options [mss 1460], length 0"
"20:41:30.990685 IP 192.168.223.130.43420 > 192.168.223.2.loc-srv: Flags [S], seq 2736444172, win 1024, options [mss 1460], length 0"
"20:41:30.990714 IP 192.168.223.130.43420 > 192.168.223.128.1723: Flags [S], seq 2736444172, win 1024, options [mss 1460], length 0"
"20:41:30.990770 IP 192.168.223.130.43420 > 192.168.223.129.https: Flags [S], seq 2736444172, win 1024, options [mss 1460], length 0"
"20:41:30.990795 IP 192.168.223.130.43420 > 192.168.223.254.https: Flags [S], seq 2736444172, win 1024, options [mss 1460], length 0"
"20:41:30.990823 IP 192.168.223.130.43420 > 192.168.223.1.3389: Flags [S], seq 2736444172, win 1024, options [mss 1460], length 0"
"20:41:30.990840 IP 192.168.223.130.43420 > 192.168.223.2.3389: Flags [S], seq 2736444172, win 1024, options [mss 1460], length 0"
"20:41:30.990856 IP 192.168.223.130.43420 > 192.168.223.128.loc-srv: Flags [S], seq 2736444172, win 1024, options [mss 1460], length 0"
"20:41:30.990903 IP 192.168.223.2.loc-srv > 192.168.223.130.43420: Flags [R.], seq 0, ack 2736444173, win 32767, length 0"
"20:41:30.990950 IP 192.168.223.2.3389 > 192.168.223.130.43420: Flags [R.], seq 0, ack 2736444173, win 32767, length 0"
"20:41:30.990987 IP 192.168.223.128.1723 > 192.168.223.130.43420: Flags [R.], seq 0, ack 2736444173, win 0, length 0"
"20:41:30.991012 IP 192.168.223.129.https > 192.168.223.130.43420: Flags [R.], seq 0, ack 2736444173, win 0, length 0"
"20:41:30.991057 IP 192.168.223.128.loc-srv > 192.168.223.130.43420: Flags [S.], seq 3160496683, ack 2736444173, win 64240, options [mss 1460], length 0"
"20:41:30.991169 IP 192.168.223.130.43420 > 192.168.223.128.loc-srv: Flags [R], seq 2736444173, win 0, length 0"
"20:41:31.090189 IP 192.168.223.130.43421 > 192.168.223.1.1723: Flags [S], seq 2736509709, win 1024, options [mss 1460], length 0"
"20:41:31.090264 IP 192.168.223.130.43421 > 192.168.223.254.1025: Flags [S], seq 2736509709, win 1024, options [mss 1460], length 0"
"20:41:31.090302 IP 192.168.223.130.43420 > 192.168.223.1.auth: Flags [S], seq 2736444172, win 1024, options [mss 1460], length 0"
"20:41:31.090331 IP 192.168.223.130.43420 > 192.168.223.2.auth: Flags [S], seq 2736444172, win 1024, options [mss 1460], length 0"
"20:41:31.090359 IP 192.168.223.130.43420 > 192.168.223.128.3389: Flags [S], seq 2736444172, win 1024, options [mss 1460], length 0"
"20:41:31.090395 IP 192.168.223.130.43420 > 192.168.223.129.1723: Flags [S], seq 2736444172, win 1024, options [mss 1460], length 0"
"20:41:31.090452 IP 192.168.223.130.43420 > 192.168.223.254.1723: Flags [S], seq 2736444172, win 1024, options [mss 1460], length 0"
"20:41:31.090481 IP 192.168.223.130.43420 > 192.168.223.1.submission: Flags [S], seq 2736444172, win 1024, options [mss 1460], length 0"
"20:41:31.090619 IP 192.168.223.130.43420 > 192.168.223.2.submission: Flags [S], seq 2736444172, win 1024, options [mss 1460], length 0"
"20:41:31.090637 IP 192.168.223.130.43420 > 192.168.223.128.auth: Flags [S], seq 2736444172, win 1024, options [mss 1460], length 0"
"20:41:31.090653 IP 192.168.223.130.43420 > 192.168.223.129.loc-srv: Flags [S], seq 2736444172, win 1024, options [mss 1460], length 0"
"20:41:31.090679 IP 192.168.223.130.43420 > 192.168.223.254.loc-srv: Flags [S], seq 2736444172, win 1024, options [mss 1460], length 0"
"20:41:31.090697 IP 192.168.223.130.43420 > 192.168.223.1.8888: Flags [S], seq 2736444172, win 1024, options [mss 1460], length 0"
"20:41:31.090714 IP 192.168.223.130.43420 > 192.168.223.2.8888: Flags [S], seq 2736444172, win 1024, options [mss 1460], length 0"
"20:41:31.090741 IP 192.168.223.130.43420 > 192.168.223.128.submission: Flags [S], seq 2736444172, win 1024, options [mss 1460], length 0"
"20:41:31.090757 IP 192.168.223.130.43420 > 192.168.223.129.3389: Flags [S], seq 2736444172, win 1024, options [mss 1460], length 0"
"20:41:31.090788 IP 192.168.223.130.43420 > 192.168.223.254.3389: Flags [S], seq 2736444172, win 1024, options [mss 1460], length 0"
"20:41:31.090838 IP 192.168.223.2.auth > 192.168.223.130.43420: Flags [R.], seq 0, ack 2736444173, win 32767, length 0"
"20:41:31.090856 IP 192.168.223.2.submission > 192.168.223.130.43420: Flags [R.], seq 0, ack 2736444173, win 32767, length 0"
"20:41:31.090871 IP 192.168.223.2.8888 > 192.168.223.130.43420: Flags [R.], seq 0, ack 2736444173, win 32767, length 0"
"20:41:31.090903 IP 192.168.223.128.3389 > 192.168.223.130.43420: Flags [R.], seq 0, ack 2736444173, win 0, length 0"
"20:41:31.090919 IP 192.168.223.128.auth > 192.168.223.130.43420: Flags [R.], seq 0, ack 2736444173, win 0, length 0"
"20:41:31.090933 IP 192.168.223.128.submission > 192.168.223.130.43420: Flags [R.], seq 0, ack 2736444173, win 0, length 0"
"20:41:31.090958 IP 192.168.223.129.1723 > 192.168.223.130.43420: Flags [R.], seq 0, ack 2736444173, win 0, length 0"
"20:41:31.091002 IP 192.168.223.129.loc-srv > 192.168.223.130.43420: Flags [R.], seq 0, ack 2736444173, win 0, length 0"
"20:41:31.091019 IP 192.168.223.129.3389 > 192.168.223.130.43420: Flags [R.], seq 0, ack 2736444173, win 0, length 0"
"20:41:31.092936 IP 192.168.223.130.43421 > 192.168.223.1.3389: Flags [S], seq 2736509709, win 1024, options [mss 1460], length 0"
"20:41:31.092989 IP 192.168.223.130.43421 > 192.168.223.254.https: Flags [S], seq 2736509709, win 1024, options [mss 1460], length 0"
"20:41:31.093008 IP 192.168.223.130.43421 > 192.168.223.1.loc-srv: Flags [S], seq 2736509709, win 1024, options [mss 1460], length 0"
"20:41:31.190406 IP 192.168.223.130.43421 > 192.168.223.1.auth: Flags [S], seq 2736509709, win 1024, options [mss 1460], length 0"
"20:41:31.190468 IP 192.168.223.130.43421 > 192.168.223.2.auth: Flags [S], seq 2736509709, win 1024, options [mss 1460], length 0"
"20:41:31.190504 IP 192.168.223.130.43421 > 192.168.223.128.3389: Flags [S], seq 2736509709, win 1024, options [mss 1460], length 0"
"20:41:31.190532 IP 192.168.223.130.43421 > 192.168.223.129.1723: Flags [S], seq 2736509709, win 1024, options [mss 1460], length 0"
"20:41:31.190573 IP 192.168.223.130.43420 > 192.168.223.254.auth: Flags [S], seq 2736444172, win 1024, options [mss 1460], length 0"
