20:42:53.364011 IP 192.168.223.1.63163 > 239.255.255.250.1900: UDP, length 173
20:42:54.363206 IP 192.168.223.1.63163 > 239.255.255.250.1900: UDP, length 173
20:42:55.360924 IP 192.168.223.1.63163 > 239.255.255.250.1900: UDP, length 173
20:43:02.340137 IP 192.168.223.128.login > 192.168.223.130.63986: Flags [R.], seq 0, ack 2465753834, win 0, length 0
20:43:02.340165 IP 192.168.223.129.svrloc > 192.168.223.130.63986: Flags [R.], seq 0, ack 2465753834, win 0, length 0
20:43:02.440042 IP 192.168.223.130.63987 > 192.168.223.1.26: Flags [S], seq 2465819368, win 1024, options [mss 1460], length 0
20:43:02.440107 IP 192.168.223.130.63987 > 192.168.223.2.ftp: Flags [S], seq 2465819368, win 1024, options [mss 1460], length 0
20:43:02.440141 IP 192.168.223.130.63987 > 192.168.223.128.login: Flags [S], seq 2465819368, win 1024, options [mss 1460], length 0
20:43:02.440174 IP 192.168.223.130.63987 > 192.168.223.129.svrloc: Flags [S], seq 2465819368, win 1024, options [mss 1460], length 0
20:43:02.440222 IP 192.168.223.2.ftp > 192.168.223.130.63987: Flags [R.], seq 0, ack 2465819369, win 32767, length 0
20:43:02.440280 IP 192.168.223.128.login > 192.168.223.130.63987: Flags [R.], seq 0, ack 2465819369, win 0, length 0
20:43:02.440325 IP 192.168.223.129.svrloc > 192.168.223.130.63987: Flags [R.], seq 0, ack 2465819369, win 0, length 0
20:43:02.543083 IP 192.168.223.130.63986 > 192.168.223.129.login: Flags [S], seq 2465753833, win 1024, options [mss 1460], length 0
20:43:02.543153 IP 192.168.223.130.63986 > 192.168.223.254.1755: Flags [S], seq 2465753833, win 1024, options [mss 1460], length 0
20:43:02.543183 IP 192.168.223.130.63986 > 192.168.223.1.svrloc: Flags [S], seq 2465753833, win 1024, options [mss 1460], length 0
20:43:02.543218 IP 192.168.223.130.63986 > 192.168.223.2.5631: Flags [S], seq 2465753833, win 1024, options [mss 1460], length 0
20:43:02.543236 IP 192.168.223.130.63986 > 192.168.223.128.shell: Flags [S], seq 2465753833, win 1024, options [mss 1460], length 0
20:43:02.543357 IP 192.168.223.129.login > 192.168.223.130.63986: Flags [S.], seq 2304248781, ack 2465753834, win 5840, options [mss 1460], length 0
20:43:02.543409 IP 192.168.223.2.5631 > 192.168.223.130.63986: Flags [R.], seq 0, ack 2465753834, win 32767, length 0
20:43:02.543437 IP 192.168.223.128.shell > 192.168.223.130.63986: Flags [R.], seq 0, ack 2465753834, win 0, length 0
20:43:02.543515 IP 192.168.223.130.63986 > 192.168.223.129.login: Flags [R], seq 2465753834, win 0, length 0
20:43:02.643434 IP 192.168.223.130.63987 > 192.168.223.1.svrloc: Flags [S], seq 2465819368, win 1024, options [mss 1460], length 0
20:43:02.643494 IP 192.168.223.130.63987 > 192.168.223.2.5631: Flags [S], seq 2465819368, win 1024, options [mss 1460], length 0
20:43:02.643528 IP 192.168.223.130.63987 > 192.168.223.128.shell: Flags [S], seq 2465819368, win 1024, options [mss 1460], length 0
20:43:02.643560 IP 192.168.223.130.63987 > 192.168.223.129.login: Flags [S], seq 2465819368, win 1024, options [mss 1460], length 0
20:43:02.643609 IP 192.168.223.130.63987 > 192.168.223.254.1755: Flags [S], seq 2465819368, win 1024, options [mss 1460], length 0
20:43:02.643638 IP 192.168.223.2.5631 > 192.168.223.130.63987: Flags [R.], seq 0, ack 2465819369, win 32767, length 0
20:43:02.643707 IP 192.168.223.129.login > 192.168.223.130.63987: Flags [S.], seq 2298925072, ack 2465819369, win 5840, options [mss 1460], length 0
20:43:02.643756 IP 192.168.223.128.shell > 192.168.223.130.63987: Flags [R.], seq 0, ack 2465819369, win 0, length 0
20:43:02.643815 IP 192.168.223.130.63987 > 192.168.223.129.login: Flags [R], seq 2465819369, win 0, length 0
20:43:02.746462 IP 192.168.223.130.63986 > 192.168.223.128.iprop: Flags [S], seq 2465753833, win 1024, options [mss 1460], length 0
20:43:02.746526 IP 192.168.223.130.63986 > 192.168.223.129.shell: Flags [S], seq 2465753833, win 1024, options [mss 1460], length 0
20:43:02.746556 IP 192.168.223.130.63986 > 192.168.223.254.sip: Flags [S], seq 2465753833, win 1024, options [mss 1460], length 0
20:43:02.746585 IP 192.168.223.130.63986 > 192.168.223.1.login: Flags [S], seq 2465753833, win 1024, options [mss 1460], length 0
20:43:02.746626 IP 192.168.223.130.63986 > 192.168.223.2.7070: Flags [S], seq 2465753833, win 1024, options [mss 1460], length 0
20:43:02.746656 IP 192.168.223.128.iprop > 192.168.223.130.63986: Flags [R.], seq 0, ack 2465753834, win 0, length 0
20:43:02.746707 IP 192.168.223.129.shell > 192.168.223.130.63986: Flags [S.], seq 2300833626, ack 2465753834, win 5840, options [mss 1460], length 0
20:43:02.746741 IP 192.168.223.2.7070 > 192.168.223.130.63986: Flags [R.], seq 0, ack 2465753834, win 32767, length 0
20:43:02.746816 IP 192.168.223.130.63986 > 192.168.223.129.shell: Flags [R], seq 2465753834, win 0, length 0
20:43:02.847056 IP 192.168.223.130.63987 > 192.168.223.1.login: Flags [S], seq 2465819368, win 1024, options [mss 1460], length 0
20:43:02.847127 IP 192.168.223.130.63987 > 192.168.223.2.7070: Flags [S], seq 2465819368, win 1024, options [mss 1460], length 0
20:43:02.847146 IP 192.168.223.130.63987 > 192.168.223.128.iprop: Flags [S], seq 2465819368, win 1024, options [mss 1460], length 0
20:43:02.847172 IP 192.168.223.130.63987 > 192.168.223.129.shell: Flags [S], seq 2465819368, win 1024, options [mss 1460], length 0
20:43:02.847216 IP 192.168.223.130.63987 > 192.168.223.254.sip: Flags [S], seq 2465819368, win 1024, options [mss 1460], length 0
20:43:02.847245 IP 192.168.223.2.7070 > 192.168.223.130.63987: Flags [R.], seq 0, ack 2465819369, win 32767, length 0
20:43:02.847296 IP 192.168.223.128.iprop > 192.168.223.130.63987: Flags [R.], seq 0, ack 2465819369, win 0, length 0
20:43:02.847333 IP 192.168.223.129.shell > 192.168.223.130.63987: Flags [S.], seq 2299186220, ack 2465819369, win 5840, options [mss 1460], length 0
20:43:02.847425 IP 192.168.223.130.63987 > 192.168.223.129.shell: Flags [R], seq 2465819369, win 0, length 0
20:43:02.950423 IP 192.168.223.130.63986 > 192.168.223.2.49154: Flags [S], seq 2465753833, win 1024, options [mss 1460], length 0
20:43:02.950495 IP 192.168.223.130.63986 > 192.168.223.128.nfs: Flags [S], seq 2465753833, win 1024, options [mss 1460], length 0
20:43:02.950542 IP 192.168.223.130.63986 > 192.168.223.129.iprop: Flags [S], seq 2465753833, win 1024, options [mss 1460], length 0
20:43:02.950579 IP 192.168.223.130.63986 > 192.168.223.254.nntp: Flags [S], seq 2465753833, win 1024, options [mss 1460], length 0
20:43:02.950597 IP 192.168.223.130.63986 > 192.168.223.1.shell: Flags [S], seq 2465753833, win 1024, options [mss 1460], length 0
20:43:02.950646 IP 192.168.223.2.49154 > 192.168.223.130.63986: Flags [R.], seq 0, ack 2465753834, win 32767, length 0
20:43:02.950686 IP 192.168.223.128.nfs > 192.168.223.130.63986: Flags [R.], seq 0, ack 2465753834, win 0, length 0
20:43:02.950719 IP 192.168.223.129.iprop > 192.168.223.130.63986: Flags [S.], seq 2301160712, ack 2465753834, win 5840, options [mss 1460], length 0
20:43:02.950807 IP 192.168.223.130.63986 > 192.168.223.129.iprop: Flags [R], seq 2465753834, win 0, length 0
20:43:03.051354 IP 192.168.223.130.63987 > 192.168.223.1.shell: Flags [S], seq 2465819368, win 1024, options [mss 1460], length 0
20:43:03.051417 IP 192.168.223.130.63987 > 192.168.223.2.49154: Flags [S], seq 2465819368, win 1024, options [mss 1460], length 0
20:43:03.051436 IP 192.168.223.130.63987 > 192.168.223.128.nfs: Flags [S], seq 2465819368, win 1024, options [mss 1460], length 0
20:43:03.051470 IP 192.168.223.130.63987 > 192.168.223.129.iprop: Flags [S], seq 2465819368, win 1024, options [mss 1460], length 0
20:43:03.051512 IP 192.168.223.130.63987 > 192.168.223.254.nntp: Flags [S], seq 2465819368, win 1024, options [mss 1460], length 0
20:43:03.051541 IP 192.168.223.2.49154 > 192.168.223.130.63987: Flags [R.], seq 0, ack 2465819369, win 32767, length 0
20:43:03.051581 IP 192.168.223.128.nfs > 192.168.223.130.63987: Flags [R.], seq 0, ack 2465819369, win 0, length 0
20:43:03.051629 IP 192.168.223.129.iprop > 192.168.223.130.63987: Flags [S.], seq 2310332924, ack 2465819369, win 5840, options [mss 1460], length 0
20:43:03.051714 IP 192.168.223.130.63987 > 192.168.223.129.iprop: Flags [R], seq 2465819369, win 0, length 0
20:43:03.124890 ARP, Request who-has 192.168.223.130 tell 192.168.223.129, length 46
20:43:03.125138 ARP, Reply 192.168.223.130 is-at 00:0c:29:a9:aa:a1 (oui Unknown), length 46
20:43:03.154531 IP 192.168.223.130.63986 > 192.168.223.1.iprop: Flags [S], seq 2465753833, win 1024, options [mss 1460], length 0
20:43:03.154593 IP 192.168.223.130.63986 > 192.168.223.2.8000: Flags [S], seq 2465753833, win 1024, options [mss 1460], length 0
20:43:03.154629 IP 192.168.223.130.63986 > 192.168.223.128.646: Flags [S], seq 2465753833, win 1024, options [mss 1460], length 0
20:43:03.154663 IP 192.168.223.130.63986 > 192.168.223.129.nfs: Flags [S], seq 2465753833, win 1024, options [mss 1460], length 0
20:43:03.154712 IP 192.168.223.130.63986 > 192.168.223.254.webmin: Flags [S], seq 2465753833, win 1024, options [mss 1460], length 0
20:43:03.154741 IP 192.168.223.2.8000 > 192.168.223.130.63986: Flags [R.], seq 0, ack 2465753834, win 32767, length 0
20:43:03.154781 IP 192.168.223.128.646 > 192.168.223.130.63986: Flags [R.], seq 0, ack 2465753834, win 0, length 0
20:43:03.154817 IP 192.168.223.129.nfs > 192.168.223.130.63986: Flags [S.], seq 2300932120, ack 2465753834, win 5840, options [mss 1460], length 0
20:43:03.154896 IP 192.168.223.130.63986 > 192.168.223.129.nfs: Flags [R], seq 2465753834, win 0, length 0
20:43:03.255408 IP 192.168.223.130.63987 > 192.168.223.1.iprop: Flags [S], seq 2465819368, win 1024, options [mss 1460], length 0
20:43:03.255472 IP 192.168.223.130.63987 > 192.168.223.2.8000: Flags [S], seq 2465819368, win 1024, options [mss 1460], length 0
20:43:03.255491 IP 192.168.223.130.63987 > 192.168.223.128.646: Flags [S], seq 2465819368, win 1024, options [mss 1460], length 0
20:43:03.255536 IP 192.168.223.130.63987 > 192.168.223.129.nfs: Flags [S], seq 2465819368, win 1024, options [mss 1460], length 0
20:43:03.255578 IP 192.168.223.130.63987 > 192.168.223.254.webmin: Flags [S], seq 2465819368, win 1024, options [mss 1460], length 0
20:43:03.255619 IP 192.168.223.2.8000 > 192.168.223.130.63987: Flags [R.], seq 0, ack 2465819369, win 32767, length 0
20:43:03.255647 IP 192.168.223.128.646 > 192.168.223.130.63987: Flags [R.], seq 0, ack 2465819369, win 0, length 0
20:43:03.255684 IP 192.168.223.129.nfs > 192.168.223.130.63987: Flags [S.], seq 2302244037, ack 2465819369, win 5840, options [mss 1460], length 0
20:43:03.255797 IP 192.168.223.130.63987 > 192.168.223.129.nfs: Flags [R], seq 2465819369, win 0, length 0
20:43:03.358365 IP 192.168.223.130.63986 > 192.168.223.254.radmin-port: Flags [S], seq 2465753833, win 1024, options [mss 1460], length 0
20:43:03.358446 IP 192.168.223.130.63986 > 192.168.223.1.nfs: Flags [S], seq 2465753833, win 1024, options [mss 1460], length 0
20:43:03.358478 IP 192.168.223.130.63986 > 192.168.223.2.26: Flags [S], seq 2465753833, win 1024, options [mss 1460], length 0
20:43:03.358519 IP 192.168.223.130.63986 > 192.168.223.128.8008: Flags [S], seq 2465753833, win 1024, options [mss 1460], length 0
20:43:03.358561 IP 192.168.223.130.63986 > 192.168.223.129.646: Flags [S], seq 2465753833, win 1024, options [mss 1460], length 0
20:43:03.358620 IP 192.168.223.2.26 > 192.168.223.130.63986: Flags [R.], seq 0, ack 2465753834, win 32767, length 0
20:43:03.358664 IP 192.168.223.128.8008 > 192.168.223.130.63986: Flags [R.], seq 0, ack 2465753834, win 0, length 0
20:43:03.358703 IP 192.168.223.129.646 > 192.168.223.130.63986: Flags [R.], seq 0, ack 2465753834, win 0, length 0
20:43:03.458939 IP 192.168.223.130.63987 > 192.168.223.1.nfs: Flags [S], seq 2465819368, win 1024, options [mss 1460], length 0
20:43:03.459002 IP 192.168.223.130.63987 > 192.168.223.2.26: Flags [S], seq 2465819368, win 1024, options [mss 1460], length 0
20:43:03.459020 IP 192.168.223.130.63987 > 192.168.223.128.8008: Flags [S], seq 2465819368, win 1024, options [mss 1460], length 0
20:43:03.459054 IP 192.168.223.130.63987 > 192.168.223.129.646: Flags [S], seq 2465819368, win 1024, options [mss 1460], length 0
20:43:03.459095 IP 192.168.223.130.63987 > 192.168.223.254.radmin-port: Flags [S], seq 2465819368, win 1024, options [mss 1460], length 0
20:43:03.459125 IP 192.168.223.2.26 > 192.168.223.130.63987: Flags [R.], seq 0, ack 2465819369, win 32767, length 0
20:43:03.459164 IP 192.168.223.128.8008 > 192.168.223.130.63987: Flags [R.], seq 0, ack 2465819369, win 0, length 0
20:43:03.459201 IP 192.168.223.129.646 > 192.168.223.130.63987: Flags [R.], seq 0, ack 2465819369, win 0, length 0
20:43:03.562340 IP 192.168.223.130.63986 > 192.168.223.129.8008: Flags [S], seq 2465753833, win 1024, options [mss 1460], length 0
20:43:03.562410 IP 192.168.223.130.63986 > 192.168.223.254.postgresql: Flags [S], seq 2465753833, win 1024, options [mss 1460], length 0
20:43:03.562444 IP 192.168.223.130.63986 > 192.168.223.1.646: Flags [S], seq 2465753833, win 1024, options [mss 1460], length 0
20:43:03.562469 IP 192.168.223.130.63986 > 192.168.223.2.svrloc: Flags [S], seq 2465753833, win 1024, options [mss 1460], length 0
20:43:03.562501 IP 192.168.223.130.63986 > 192.168.223.128.6646: Flags [S], seq 2465753833, win 1024, options [mss 1460], length 0
20:43:03.562563 IP 192.168.223.129.8008 > 192.168.223.130.63986: Flags [R.], seq 0, ack 2465753834, win 0, length 0
20:43:03.562608 IP 192.168.223.2.svrloc > 192.168.223.130.63986: Flags [R.], seq 0, ack 2465753834, win 32767, length 0
20:43:03.562665 IP 192.168.223.128.6646 > 192.168.223.130.63986: Flags [R.], seq 0, ack 2465753834, win 0, length 0
20:43:03.662867 IP 192.168.223.130.63987 > 192.168.223.1.646: Flags [S], seq 2465819368, win 1024, options [mss 1460], length 0
20:43:03.663016 IP 192.168.223.130.63987 > 192.168.223.2.svrloc: Flags [S], seq 2465819368, win 1024, options [mss 1460], length 0
20:43:03.663050 IP 192.168.223.130.63987 > 192.168.223.128.6646: Flags [S], seq 2465819368, win 1024, options [mss 1460], length 0
20:43:03.663103 IP 192.168.223.130.63987 > 192.168.223.129.8008: Flags [S], seq 2465819368, win 1024, options [mss 1460], length 0
20:43:03.663147 IP 192.168.223.130.63987 > 192.168.223.254.postgresql: Flags [S], seq 2465819368, win 1024, options [mss 1460], length 0
20:43:03.663176 IP 192.168.223.2.svrloc > 192.168.223.130.63987: Flags [R.], seq 0, ack 2465819369, win 32767, length 0
20:43:03.663249 IP 192.168.223.128.6646 > 192.168.223.130.63987: Flags [R.], seq 0, ack 2465819369, win 0, length 0
20:43:03.663282 IP 192.168.223.129.8008 > 192.168.223.130.63987: Flags [R.], seq 0, ack 2465819369, win 0, length 0
20:43:03.765549 IP 192.168.223.130.63986 > 192.168.223.128.49157: Flags [S], seq 2465753833, win 1024, options [mss 1460], length 0
20:43:03.765614 IP 192.168.223.130.63986 > 192.168.223.129.6646: Flags [S], seq 2465753833, win 1024, options [mss 1460], length 0
20:43:03.765645 IP 192.168.223.130.63986 > 192.168.223.254.ms-sql-s: Flags [S], seq 2465753833, win 1024, options [mss 1460], length 0
20:43:03.765674 IP 192.168.223.130.63986 > 192.168.223.1.8008: Flags [S], seq 2465753833, win 1024, options [mss 1460], length 0
20:43:03.765708 IP 192.168.223.130.63986 > 192.168.223.2.login: Flags [S], seq 2465753833, win 1024, options [mss 1460], length 0
20:43:03.765738 IP 192.168.223.128.49157 > 192.168.223.130.63986: Flags [R.], seq 0, ack 2465753834, win 0, length 0
20:43:03.765778 IP 192.168.223.129.6646 > 192.168.223.130.63986: Flags [R.], seq 0, ack 2465753834, win 0, length 0
20:43:03.765836 IP 192.168.223.2.login > 192.168.223.130.63986: Flags [R.], seq 0, ack 2465753834, win 32767, length 0
20:43:03.866140 IP 192.168.223.130.63987 > 192.168.223.1.8008: Flags [S], seq 2465819368, win 1024, options [mss 1460], length 0
20:43:03.866203 IP 192.168.223.130.63987 > 192.168.223.2.login: Flags [S], seq 2465819368, win 1024, options [mss 1460], length 0
20:43:03.866237 IP 192.168.223.130.63987 > 192.168.223.128.49157: Flags [S], seq 2465819368, win 1024, options [mss 1460], length 0
20:43:03.866270 IP 192.168.223.130.63987 > 192.168.223.129.6646: Flags [S], seq 2465819368, win 1024, options [mss 1460], length 0
20:43:03.866309 IP 192.168.223.130.63987 > 192.168.223.254.ms-sql-s: Flags [S], seq 2465819368, win 1024, options [mss 1460], length 0
20:43:03.866339 IP 192.168.223.2.login > 192.168.223.130.63987: Flags [R.], seq 0, ack 2465819369, win 32767, length 0
20:43:03.866378 IP 192.168.223.128.49157 > 192.168.223.130.63987: Flags [R.], seq 0, ack 2465819369, win 0, length 0
20:43:03.866424 IP 192.168.223.129.6646 > 192.168.223.130.63987: Flags [R.], seq 0, ack 2465819369, win 0, length 0
20:43:03.969892 IP 192.168.223.130.63986 > 192.168.223.2.shell: Flags [S], seq 2465753833, win 1024, options [mss 1460], length 0
20:43:03.969959 IP 192.168.223.130.63986 > 192.168.223.128.discard: Flags [S], seq 2465753833, win 1024, options [mss 1460], length 0
20:43:03.970029 IP 192.168.223.130.63986 > 192.168.223.129.49157: Flags [S], seq 2465753833, win 1024, options [mss 1460], length 0
20:43:03.970067 IP 192.168.223.130.63986 > 192.168.223.254.x11-1: Flags [S], seq 2465753833, win 1024, options [mss 1460], length 0
20:43:03.970084 IP 192.168.223.130.63986 > 192.168.223.1.6646: Flags [S], seq 2465753833, win 1024, options [mss 1460], length 0
20:43:03.970131 IP 192.168.223.2.shell > 192.168.223.130.63986: Flags [R.], seq 0, ack 2465753834, win 32767, length 0
20:43:03.970171 IP 192.168.223.128.discard > 192.168.223.130.63986: Flags [R.], seq 0, ack 2465753834, win 0, length 0
20:43:03.970203 IP 192.168.223.129.49157 > 192.168.223.130.63986: Flags [R.], seq 0, ack 2465753834, win 0, length 0
20:43:04.070475 IP 192.168.223.130.63987 > 192.168.223.1.6646: Flags [S], seq 2465819368, win 1024, options [mss 1460], length 0
20:43:04.070560 IP 192.168.223.130.63987 > 192.168.223.2.shell: Flags [S], seq 2465819368, win 1024, options [mss 1460], length 0
20:43:04.070589 IP 192.168.223.130.63987 > 192.168.223.128.discard: Flags [S], seq 2465819368, win 1024, options [mss 1460], length 0
20:43:04.070618 IP 192.168.223.130.63987 > 192.168.223.129.49157: Flags [S], seq 2465819368, win 1024, options [mss 1460], length 0
20:43:04.070678 IP 192.168.223.130.63987 > 192.168.223.254.x11-1: Flags [S], seq 2465819368, win 1024, options [mss 1460], length 0
20:43:04.070712 IP 192.168.223.2.shell > 192.168.223.130.63987: Flags [R.], seq 0, ack 2465819369, win 32767, length 0
20:43:04.070794 IP 192.168.223.128.discard > 192.168.223.130.63987: Flags [R.], seq 0, ack 2465819369, win 0, length 0
20:43:04.070840 IP 192.168.223.129.49157 > 192.168.223.130.63987: Flags [R.], seq 0, ack 2465819369, win 0, length 0
20:43:04.173477 IP 192.168.223.130.63986 > 192.168.223.1.49157: Flags [S], seq 2465753833, win 1024, options [mss 1460], length 0
20:43:04.173547 IP 192.168.223.130.63986 > 192.168.223.2.iprop: Flags [S], seq 2465753833, win 1024, options [mss 1460], length 0
20:43:04.173567 IP 192.168.223.130.63986 > 192.168.223.128.1755: Flags [S], seq 2465753833, win 1024, options [mss 1460], length 0
20:43:04.173594 IP 192.168.223.130.63986 > 192.168.223.129.discard: Flags [S], seq 2465753833, win 1024, options [mss 1460], length 0
20:43:04.173640 IP 192.168.223.130.63986 > 192.168.223.254.49153: Flags [S], seq 2465753833, win 1024, options [mss 1460], length 0
20:43:04.173674 IP 192.168.223.2.iprop > 192.168.223.130.63986: Flags [R.], seq 0, ack 2465753834, win 32767, length 0
20:43:04.173726 IP 192.168.223.128.1755 > 192.168.223.130.63986: Flags [R.], seq 0, ack 2465753834, win 0, length 0
20:43:04.173752 IP 192.168.223.129.discard > 192.168.223.130.63986: Flags [R.], seq 0, ack 2465753834, win 0, length 0
20:43:04.274278 IP 192.168.223.130.63987 > 192.168.223.1.49157: Flags [S], seq 2465819368, win 1024, options [mss 1460], length 0
20:43:04.274347 IP 192.168.223.130.63987 > 192.168.223.2.iprop: Flags [S], seq 2465819368, win 1024, options [mss 1460], length 0
20:43:04.274367 IP 192.168.223.130.63987 > 192.168.223.128.1755: Flags [S], seq 2465819368, win 1024, options [mss 1460], length 0
20:43:04.274422 IP 192.168.223.130.63987 > 192.168.223.129.discard: Flags [S], seq 2465819368, win 1024, options [mss 1460], length 0
20:43:04.274466 IP 192.168.223.130.63987 > 192.168.223.254.49153: Flags [S], seq 2465819368, win 1024, options [mss 1460], length 0
20:43:04.274509 IP 192.168.223.2.iprop > 192.168.223.130.63987: Flags [R.], seq 0, ack 2465819369, win 32767, length 0
20:43:04.274540 IP 192.168.223.128.1755 > 192.168.223.130.63987: Flags [R.], seq 0, ack 2465819369, win 0, length 0
20:43:04.274577 IP 192.168.223.129.discard > 192.168.223.130.63987: Flags [R.], seq 0, ack 2465819369, win 0, length 0
20:43:04.377442 IP 192.168.223.130.63986 > 192.168.223.254.tproxy: Flags [S], seq 2465753833, win 1024, options [mss 1460], length 0
20:43:04.377532 IP 192.168.223.130.63986 > 192.168.223.1.discard: Flags [S], seq 2465753833, win 1024, options [mss 1460], length 0
20:43:04.377557 IP 192.168.223.130.63986 > 192.168.223.2.nfs: Flags [S], seq 2465753833, win 1024, options [mss 1460], length 0
20:43:04.377588 IP 192.168.223.130.63986 > 192.168.223.128.sip: Flags [S], seq 2465753833, win 1024, options [mss 1460], length 0
20:43:04.377623 IP 192.168.223.130.63986 > 192.168.223.129.1755: Flags [S], seq 2465753833, win 1024, options [mss 1460], length 0
20:43:04.377675 IP 192.168.223.2.nfs > 192.168.223.130.63986: Flags [R.], seq 0, ack 2465753834, win 32767, length 0
20:43:04.377774 IP 192.168.223.128.sip > 192.168.223.130.63986: Flags [R.], seq 0, ack 2465753834, win 0, length 0
20:43:04.377810 IP 192.168.223.129.1755 > 192.168.223.130.63986: Flags [R.], seq 0, ack 2465753834, win 0, length 0
20:43:04.480615 IP 192.168.223.130.63987 > 192.168.223.1.discard: Flags [S], seq 2465819368, win 1024, options [mss 1460], length 0
20:43:04.480694 IP 192.168.223.130.63987 > 192.168.223.254.tproxy: Flags [S], seq 2465819368, win 1024, options [mss 1460], length 0
20:43:04.480730 IP 192.168.223.130.63986 > 192.168.223.2.646: Flags [S], seq 2465753833, win 1024, options [mss 1460], length 0
20:43:04.480763 IP 192.168.223.130.63986 > 192.168.223.128.nntp: Flags [S], seq 2465753833, win 1024, options [mss 1460], length 0
20:43:04.480790 IP 192.168.223.130.63986 > 192.168.223.129.sip: Flags [S], seq 2465753833, win 1024, options [mss 1460], length 0
20:43:04.480829 IP 192.168.223.130.63986 > 192.168.223.254.5101: Flags [S], seq 2465753833, win 1024, options [mss 1460], length 0
20:43:04.480858 IP 192.168.223.2.646 > 192.168.223.130.63986: Flags [R.], seq 0, ack 2465753834, win 32767, length 0
20:43:04.480898 IP 192.168.223.128.nntp > 192.168.223.130.63986: Flags [R.], seq 0, ack 2465753834, win 0, length 0
20:43:04.480935 IP 192.168.223.129.sip > 192.168.223.130.63986: Flags [R.], seq 0, ack 2465753834, win 0, length 0
20:43:04.581261 IP 192.168.223.130.63987 > 192.168.223.2.646: Flags [S], seq 2465819368, win 1024, options [mss 1460], length 0
20:43:04.581327 IP 192.168.223.130.63987 > 192.168.223.128.nntp: Flags [S], seq 2465819368, win 1024, options [mss 1460], length 0
20:43:04.581366 IP 192.168.223.130.63987 > 192.168.223.129.sip: Flags [S], seq 2465819368, win 1024, options [mss 1460], length 0
20:43:04.581394 IP 192.168.223.130.63987 > 192.168.223.254.5101: Flags [S], seq 2465819368, win 1024, options [mss 1460], length 0
20:43:04.581412 IP 192.168.223.130.63986 > 192.168.223.254.9999: Flags [S], seq 2465753833, win 1024, options [mss 1460], length 0
20:43:04.581427 IP 192.168.223.130.63986 > 192.168.223.1.1755: Flags [S], seq 2465753833, win 1024, options [mss 1460], length 0
20:43:04.581473 IP 192.168.223.2.646 > 192.168.223.130.63987: Flags [R.], seq 0, ack 2465819369, win 32767, length 0
20:43:04.581513 IP 192.168.223.128.nntp > 192.168.223.130.63987: Flags [R.], seq 0, ack 2465819369, win 0, length 0
20:43:04.581539 IP 192.168.223.129.sip > 192.168.223.130.63987: Flags [R.], seq 0, ack 2465819369, win 0, length 0
20:43:04.684007 IP 192.168.223.130.63987 > 192.168.223.1.1755: Flags [S], seq 2465819368, win 1024, options [mss 1460], length 0
20:43:04.684072 IP 192.168.223.130.63987 > 192.168.223.254.9999: Flags [S], seq 2465819368, win 1024, options [mss 1460], length 0
20:43:04.684091 IP 192.168.223.130.63986 > 192.168.223.129.nntp: Flags [S], seq 2465753833, win 1024, options [mss 1460], length 0
20:43:04.684138 IP 192.168.223.130.63986 > 192.168.223.254.finger: Flags [S], seq 2465753833, win 1024, options [mss 1460], length 0
20:43:04.684155 IP 192.168.223.130.63986 > 192.168.223.1.sip: Flags [S], seq 2465753833, win 1024, options [mss 1460], length 0
20:43:04.684251 IP 192.168.223.129.nntp > 192.168.223.130.63986: Flags [R.], seq 0, ack 2465753834, win 0, length 0
20:43:04.784273 IP 192.168.223.130.63987 > 192.168.223.1.sip: Flags [S], seq 2465819368, win 1024, options [mss 1460], length 0
20:43:04.784337 IP 192.168.223.130.63987 > 192.168.223.129.nntp: Flags [S], seq 2465819368, win 1024, options [mss 1460], length 0
20:43:04.784383 IP 192.168.223.130.63987 > 192.168.223.254.finger: Flags [S], seq 2465819368, win 1024, options [mss 1460], length 0
20:43:04.784408 IP 192.168.223.130.63986 > 192.168.223.254.3986: Flags [S], seq 2465753833, win 1024, options [mss 1460], length 0
20:43:04.784424 IP 192.168.223.130.63986 > 192.168.223.1.nntp: Flags [S], seq 2465753833, win 1024, options [mss 1460], length 0
20:43:04.784513 IP 192.168.223.129.nntp > 192.168.223.130.63987: Flags [R.], seq 0, ack 2465819369, win 0, length 0
20:43:04.888501 IP 192.168.223.130.63987 > 192.168.223.1.nntp: Flags [S], seq 2465819368, win 1024, options [mss 1460], length 0
20:43:04.888558 IP 192.168.223.130.63987 > 192.168.223.254.3986: Flags [S], seq 2465819368, win 1024, options [mss 1460], length 0
20:43:04.888577 IP 192.168.223.130.63986 > 192.168.223.129.webmin: Flags [S], seq 2465753833, win 1024, options [mss 1460], length 0
20:43:04.888758 IP 192.168.223.129.webmin > 192.168.223.130.63986: Flags [R.], seq 0, ack 2465753834, win 0, length 0
20:43:04.988666 IP 192.168.223.130.63987 > 192.168.223.129.webmin: Flags [S], seq 2465819368, win 1024, options [mss 1460], length 0
20:43:04.988715 IP 192.168.223.130.63986 > 192.168.223.2.8008: Flags [S], seq 2465753833, win 1024, options [mss 1460], length 0
20:43:04.988753 IP 192.168.223.130.63986 > 192.168.223.128.webmin: Flags [S], seq 2465753833, win 1024, options [mss 1460], length 0
20:43:04.988827 IP 192.168.223.2.8008 > 192.168.223.130.63986: Flags [R.], seq 0, ack 2465753834, win 32767, length 0
